date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2025-03-14,22049131126,PMax HBeds NY TT,27776,423,357.477141,0.0
2025-03-13,6537498438,CA & US Search - Volker,5,3,18.5,0.0
2025-03-13,6888570660,USHB | Hospital Beds MF,200,29,175.450685,0.0
2025-03-13,11037712757,ON Search - Rental Beds,79,12,61.548617,0.0
2025-03-13,13425650120,Branded - USA,26,8,34.163799,0.0
2025-03-13,19562339741,PMax Beds CA,71182,364,257.031537,0.0
2025-03-13,20086993600,Branded - CAN,21,2,5.672634,0.0
2025-03-13,20192264159,US Search - Rentals MOIL,2,0,0.0,0.0
2025-03-13,21043653785,USSHOP | For Home,686,6,112.14,0.0
2025-03-13,21043653797,USHB | For Home MF,386,30,181.401779,0.0
2025-03-13,21375484275,USHB | Luxury MF,465,54,341.387398,0.0
2025-03-13,21391659590,USSHOP | Luxury,4837,29,165.640578,0.0
